ID,SH,SG,G,A,OF,FD,FC,SV,YC,RC
195,-6.0,-2.0,0.0,-1.0,6.0,9.0,-9.0,2.0,-1.0,0
196,-3.0,-2.0,0,0,0.0,-4.0,2.0,0,1.0,0
197,12.0,6.0,2.0,0,4.0,6.0,2.0,1.0,-1.0,0
198,-3.0,-7.0,-2.0,-2.0,0.0,7.0,-4.0,5.0,-1.0,0
199,2.0,-4.0,-2.0,-2.0,1.0,0.0,1.0,-2.0,-1.0,0
200,6.0,-1.0,-3.0,-3.0,1.0,3.0,-1.0,-1.0,-1.0,0
201,3.0,0.0,-2.0,-1.0,0.0,-4.0,4.0,-4.0,0,-1.0
202,5.0,2.0,-1.0,-2.0,0.0,-6.0,6.0,-1.0,-2.0,0
203,3.0,4.0,3.0,3.0,1.0,-1.0,0.0,-2.0,-2.0,0
204,8.0,1.0,1.0,1.0,0,11.0,-9.0,1.0,-3.0,0
205,25.0,6.0,0,0,-1.0,1.0,-2.0,0,0.0,0
206,14.0,3.0,1.0,1.0,-2.0,-3.0,4.0,0,-2.0,0
207,-8.0,0.0,1.0,0.0,1.0,1.0,-5.0,2.0,0.0,0
208,-3.0,-2.0,1.0,0.0,2.0,4.0,-4.0,3.0,-1.0,0
209,-5.0,1.0,0,0,0.0,1.0,-2.0,0,-2.0,0
210,5.0,2.0,1.0,0,0.0,-6.0,3.0,4.0,0.0,0
219,-8.0,-5.0,0,0,2.0,-2.0,2.0,0,2.0,0
220,-1.0,0.0,1.0,1.0,-2.0,-4.0,5.0,3.0,0.0,0
221,9.0,4.0,2.0,1.0,-2.0,-7.0,7.0,2.0,0.0,0
222,5.0,3.0,0.0,-1.0,3.0,3.0,-1.0,-4.0,-4.0,0
223,-6.0,0.0,0,0,3.0,-8.0,8.0,0,1.0,0
224,24.0,8.0,3.0,3.0,-1.0,-4.0,0.0,1.0,-1.0,0
225,5.0,5.0,3.0,2.0,-3.0,5.0,-5.0,-1.0,-1.0,0
226,-1.0,1.0,1.0,-1.0,-6.0,-1.0,-2.0,0.0,0.0,0
227,23.0,10.0,-1.0,-1.0,-6.0,10.0,-10.0,-14.0,-1.0,0
228,-19.0,-2.0,1.0,1.0,-2.0,7.0,-7.0,4.0,-1.0,0
229,-5.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,-1.0,0
230,8.0,2.0,0.0,2.0,3.0,2.0,-3.0,-3.0,2.0,0
231,10.0,8.0,1.0,1.0,-2.0,3.0,4.0,-7.0,1.0,0
232,-1.0,0.0,2.0,0,4.0,4.0,-4.0,4.0,-3.0,0
233,-6.0,-1.0,0.0,0.0,2.0,-2.0,3.0,2.0,2.0,0
234,6.0,0.0,-1.0,-1.0,0.0,3.0,-3.0,-2.0,1.0,-1.0
235,8.0,0.0,1.0,0.0,1.0,0.0,1.0,-2.0,-1.0,0
236,3.0,1.0,2.0,1.0,-1.0,-5.0,4.0,3.0,1.0,-1.0
237,-5.0,-5.0,-3.0,0,2.0,0.0,3.0,-1.0,0,0
238,4.0,5.0,5.0,2.0,-4.0,6.0,-1.0,5.0,-1.0,0
239,-4.0,-2.0,-1.0,1.0,-2.0,-5.0,0.0,1.0,2.0,0
240,0.0,-2.0,0.0,1.0,1.0,7.0,-4.0,3.0,-1.0,0
241,6.0,3.0,0,0,-3.0,-1.0,2.0,0,1.0,0
242,3.0,1.0,-3.0,-2.0,1.0,1.0,0.0,-4.0,-3.0,0
243,15.0,8.0,4.0,4.0,0.0,2.0,-9.0,3.0,-3.0,0
244,-3.0,0.0,1.0,1.0,-1.0,1.0,-2.0,2.0,-1.0,0
245,7.0,9.0,3.0,1.0,0.0,-4.0,3.0,0,1.0,0
246,-2.0,3.0,1.0,0.0,4.0,-2.0,-5.0,-4.0,-1.0,0
247,1.0,1.0,0.0,1.0,2.0,2.0,-7.0,-1.0,-2.0,0
248,2.0,-1.0,1.0,1.0,0,4.0,-4.0,1.0,2.0,0
